name,svg,lottie
Victory-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fd/lottie.json
Victory-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3fe/lottie.json
Victory-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/270c_1f3ff/lottie.json
Crossed-fingers.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e/lottie.json
Crossed-fingers-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fb/lottie.json
Crossed-fingers-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fc/lottie.json
Crossed-fingers-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fd/lottie.json
Crossed-fingers-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3fe/lottie.json
Crossed-fingers-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f91e_1f3ff/lottie.json
Index-finger.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_fe0f/lottie.json
Index-finger-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fb/lottie.json
Index-finger-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fc/lottie.json
Index-finger-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fd/lottie.json
Index-finger-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3fe/lottie.json
Index-finger-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/261d_1f3ff/lottie.json
Folded-hands.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f/lottie.json
Folded-hands-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fb/lottie.json
Folded-hands-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fc/lottie.json
Folded-hands-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fd/lottie.json
Folded-hands-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3fe/lottie.json
Folded-hands-5.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3ff/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f64f_1f3ff/lottie.json
Dancer-woman.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483/lottie.json
Dancer-woman-1.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fb/lottie.json
Dancer-woman-2.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fc/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fc/lottie.json
Dancer-woman-3.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fd/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fd/lottie.json
Dancer-woman-4.json,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fe/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f483_1f3fe/lottie.json
